name,facet,segment,novel,v1_match,n_docs,n_B,n_G,grounded,groups,variants,definition,evidence,docs
Concentration Index,metric,G∩B,True,,1,2,1,1.00,CompositeMetric | Equity metrics,Concentration Index | Gini coefficient,A statistical index used to measure the inequality of accessibility distribution across a population.,"The Gini coefficient, paired with Lorenz curves, was the most common approach (e.",W7158934745
connectivity and intersections,metric,B∖G,True,,1,1,0,1.00,Accessibility,connectivity and intersections,The density and layout of street intersections within a network.,"And finally, for the accessibility category, street connectivity/intersec - tion appeared in four articles27,28,32,33.",W4283793738
continuous path crossings,metric,G∖B,True,,1,0,1,0.00,InfrastructuralMetric,continuous path crossings,A crossing design where the bicycle path maintains a straight alignment across side streets to prioritize active transport.,continuous path crossings,W7152735000
Conﬂicts,metric,B∖G,True,,1,1,0,1.00,Safety,Conﬂicts,"These indicators identify locations where cycling paths intersect with other activities, such as bus stops or car parking, that may disrupt flow.","Indicators such as car parking, bus stops, and entrances along the segment of the cycle network are identiﬁed as potential points of conﬂict with other activities, inﬂuencing cycle trafﬁc conditions, namely the speed and ﬂow of bicycles [13].",W3129869580
corridor treatment,metric,G∩B,True,,1,1,1,1.00,InfrastructuralMetric | Infrastructure,corridor treatment | Corridor treatment,The application of color along the entire length of a cycle facility to enhance visibility and compliance.,"Corridor treatment Color can be applied along the entire length of a cycle facility to increase its overall visibility, enhancing recognition by road users and improving compliance ( GZM, 2018 ; SV, 2014 ).",W3165427569
Criminality,metric,B∖G,True,,1,1,0,1.00,Safety,Criminality,This indicator assesses the impact of crime rates or perceived security on the willingness of children to cycle.,", 2022 ; Shaaban & Abdur-Rouf, 2020 ) Criminality A dataset on the rate of criminal offences occurring in the area, or a subjective data rating the perception of crime-safety in the area.",W4402615958
Cumulative accessibility measures,metric,G∩B,False,Cumulative,1,1,1,1.00,Accessibility metrics | CompositeMetric,Cumulative accessibility | Cumulative accessibility measures,A count of the number of opportunities reachable within a specific travel threshold.,"Cumulative accessibility measures were the most frequently applied, used in 22 of the 71 papers.",W7158934745
Cycle street,metric,G∖B,True,,1,0,1,1.00,InfrastructuralMetric,Cycle street,A street where cyclists have priority in a speed-restricted environment shared with motor vehicles.,"They are legally mixed trafﬁc streets in which there is a conventional footway and the motorized vehicles have access (cars are “guests”), but where cyclists have assumed priority in a speed restricted area, variously marked with or without formal cycle lanes or indicative areas for cycling.",W3165427569
Cyclist Routing Algorithm for Network Connectivity,metric,G∖B,True,,1,0,1,1.00,CompositeMetric,Cyclist Routing Algorithm for Network Connectivity,A simulation tool that balances travel time and traffic stress to model cyclist route preferences.,"To maximize network connectivity, even with limited budgets, they developed the Cyclist Routing Algorithm for Network Connectivity (CRANC), a simulation tool balancing travel time and traffic stress to model diverse cyclist preferences.",W7118196403
DataSource,metric,B∖G,True,,1,1,0,1.00,,DataSource,"Data source identifies the origin of the information used to calculate a metric, such as Open Street Maps.","Last, we defined the DataSource class and linked it to the Fig.",W4401996679
Degree of urbanisation,metric,B∖G,True,,1,1,0,1.00,Connectivity and urbanisation,Degree of urbanisation,"This indicator reflects population density, which is associated with social interaction and access to services, impacting active travel.","Level of urbanisation is important as it has been positively related to active travel due to its association with increased social interaction, more commercial activity, and improved access to transport systems (Forsyth et al.",W4402615958
destination,metric,B∖G,True,,1,1,0,1.00,Land use,destination,"The presence and proximity of locations such as services, shops, or transit facilities that attract cyclists.","While for land use, destination appeared in four articles 25,26,28,31.",W4283793738
destination density,metric,G∖B,False,DestinationDensity,1,0,1,1.00,ContextualMetric,destination density,A measure of the concentration of points of interest within a specified buffer or area.,"For example, the metric DestinationDensity — a common metric to denote point-of-interest concentration — was modeled as a subclass of ContextualMetric .",W4401996679
detour-factor,metric,G∩B,False,Directness,1,1,1,1.00,MorphologicalMetric,detour-factor,A measurement calculated by the ratio of the actual route length to the shortest possible connection between origin and destination.,The detour-factor is a measurement of how direct a route is. It can be calculated trough the ratio of the length of the route to the shortest possible connection between the point o f origin and the destination.,W3206499245
different types of tracks,metric,B∖G,True,,1,1,0,1.00,Infrastructure for high-level bicycle tourism,different types of tracks,The specific physical configuration or design of the cycling path surface.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380
Dynamic Cycling Comfort,metric,G∖B,True,,1,0,1,1.00,CompositeMetric,Dynamic Cycling Comfort,A system that uses accelerometers on bicycles to measure real-time vibration levels experienced by cyclists.,"For example, ref. [12] developed the Dynamic Cycling Comfort (DCC) system, which uses accelerometers on shared bicycles to collect real-time data on vibrations perceived by cyclists.",W7118196403
E-bike charging,metric,B∖G,True,,1,1,0,0.00,Qualitative design standards,E-bike charging,The provision of electrical infrastructure to charge electric bicycles.,E-bike charging,W4393006393
enforcement and control,metric,G∖B,True,,1,0,1,1.00,InfrastructuralMetric,enforcement and control,The set of measures and monitoring activities used to ensure compliance with traffic regulations.,"06 The success of SBBLs depends on the coordination between design, enforcement and control operation as well as on the additional measures implemented to discourage the use of private vehicles.",W2777700178
Environment,metric,B∖G,True,,1,1,0,1.00,Macro-attributes or factors,Environment,"A measurement of environmental features like greenery, pedestrian areas, and noise levels.","- Environment (greenery, pedestrian areas, noise.",W7118196403
evaluation metric,metric,B∖G,True,,1,1,0,1.00,,evaluation metric,An evaluation metric is a directly measurable network-related characteristic used to quantify an evaluation criterion.,"Next, we introduced the EvaluationMetric class as a directly measurable network-related characteristic and linked it to the evalua - tion method via usedIn object property.",W4401996679
existence and width of bike lanes,metric,B∖G,True,,1,1,0,1.00,Infrastructure,existence and width of bike lanes,The presence and physical dimensions of designated bicycle lanes.,"The results indicate that the most usual indicators relate to infrastructure – existence and width of bike lanes – destination, slope, speed limit, and connectivity and intersections.",W4283793738
filtered permeability,metric,G∩B,True,,1,1,1,1.00,InfrastructuralMetric | quietways and low-traffic neighbourhoods,filtered permeability,A method of restricting motor vehicle through-traffic while allowing passage for pedestrians and cyclists.,The City of London describes LTNs as a set of strategies to reduce vehicle through traffic using filtered permeability (where a road is closed to vehicles but passable by walkers and riders) and traffic calming (London Cycling Campaign 2019 ; Transport for London 2024 ).,W7152735000
Floating Catchment Area,metric,G∖B,False,FCA,1,0,1,1.00,CompositeMetric,Floating Catchment Area,A family of metrics that account for competition between supply and demand within defined catchment areas.,"The third most common approach involved competition-based measures, particularly those in the Floating Catchment Area (FCA) family.",W7158934745
Geometric design features (layout and cross sections),metric,B∖G,True,,1,1,0,1.00,Cycle Infrastructure,Geometric design features (layout and cross sections),This criterion assesses the physical dimensions of cycle paths and their relationship to motorized traffic and intersections.,"These are closely related to the function, form, and use of the cycle infrastructure, and their dimensions are essentially inﬂuenced by the volume and speed of motorized trafﬁc and the volume of cyclists [68].",W3129869580
Gravity-based accessibility,metric,G∖B,False,GravityBased,1,0,1,1.00,CompositeMetric,Gravity-based accessibility,A measure that weights opportunities by distance or travel time using a decay function.,"Following cumulative measures, gravity-based accessibility measures were the second most frequently applied approach, used in 16 studies.",W7158934745
gravity-based accessibility measures,metric,B∖G,True,,1,1,0,1.00,Accessibility metrics,gravity-based accessibility measures,A model that weights reachable opportunities based on the travel cost to reach them.,"Following cumulative measures, gravity-based accessibility measures were the second most frequently applied approach, used in 16 studies.",W7158934745
heavy goods traffic,metric,G∖B,False,TrafficCondition,1,0,1,1.00,ContextualMetric,heavy goods traffic,"The volume or presence of heavy vehicles on a road section, impacting cyclist safety and comfort.",a section of the route running on a road with high levels of heavy goods traffic cannot be compensated by good resting places.,W3206354380
Hindrance,metric,G∩B,False,Conflictness,1,1,1,1.00,Bicycle Flow | CompositeMetric,Hindrance | hindrance,A measure of the degree to which a cyclist is restricted from moving freely due to interactions with other users.,Hindrance Phenomena Hindrance is the degree to which a user is denied the freedom to maneuver; it occurs while a cyclist passes or meets with another slower cyclist or pedestrian [ 39].,W3015673663
impedance,metric,B∖G,True,,1,1,0,1.00,Access Sheds and Networks,impedance,"A measure of the resistance encountered by a traveler, such as high-stress routes or steep topography, which reduces the effective access shed.",Impedance is defined as the amount of resistance encountered.,W2758447314
independent cycles count,metric,G∖B,True,,1,0,1,1.00,GraphMetric,independent cycles count,A count of the number of independent cycles within a graph structure.,"The first metric, originally referred to as Complexity, is renamed to IndependentCyclesCount based on its original description: ’ Complexity is the number of independent cycles …’ ( Kamel et al.",W4401996679
"infrastructure, information and services needed at intermodal nodes",metric,B∖G,True,,1,1,0,1.00,Transport services and intermodality,"infrastructure, information and services needed at intermodal nodes",A combined set of requirements for facilities and data at locations where different modes of transport connect.,"It describes infrastructure, information and services needed at intermodal nodes.",W3206354380
Infrastructures,metric,B∖G,True,,1,1,0,0.00,Macro-attributes or factors,Infrastructures,A measurement of physical road features such as pavement quality and signage.,"Infrastructures (pavement, signage. . .)",W7118196403
International Roughness Index,metric,G∖B,False,Smoothness,1,0,1,1.00,InfrastructuralMetric,International Roughness Index,A standard measurement of longitudinal road surface profile used to assess pavement quality and comfort.,"Several models were used to calculate the vibration or roughness index in the relevant articles, such as the International Roughness Index (IRI), Dynamic Comfort Index (DCI), Dynamic Cycling Comfort (DCC), and Bicycle Environmental Quality Index (BEQI).",W4406598183
International Roughness Index (IRI),metric,B∖G,True,,1,1,0,1.00,vibration or roughness index,International Roughness Index (IRI),A metric used to quantify road surface roughness and pavement quality.,"Several models were used to calculate the vibration or roughness index in the relevant articles, such as the International Roughness Index (IRI), Dynamic Comfort Index (DCI), Dynamic Cycling Comfort (DCC), and Bicycle Environmental Quality Index (BEQI).",W4406598183
intersection density,metric,G∖B,False,IntersectionDensity,1,0,1,1.00,MorphologicalMetric,intersection density,The frequency of intersections within a given spatial unit.,"We note that while IntersectionDensity is one of the most frequently used metrics, existing methods hardly assess the qualities of intersections themselves, as it is mostly used to characterize routes and areas (see Fig.",W4401996679
intersections and roundabouts,metric,B∖G,True,,1,1,0,1.00,Infrastructure for high-level bicycle tourism,intersections and roundabouts,The design and safety features of junctions where cycle routes meet other traffic.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380
land use mix,metric,G∖B,False,LandUseMix,1,0,1,1.00,ContextualMetric,land use mix,"A measure of the diversity of land use types within a specific area, often calculated using Shannon's entropy index.",", land use mix by Lin & Wei (2018) and mixed-use by Cervero et al. (2019) both use Shannon’s entropy index and, therefore, need to be manually matched.",W4401996679
Landscape Aesthetics (green and aquatic features),metric,B∖G,True,,1,1,0,1.00,Surrounding Environment,Landscape Aesthetics (green and aquatic features),This criterion measures the presence of green and aquatic elements that improve the cycling experience and well-being.,• Landscape Aesthetics (green and aquatic features): The aesthetic conditions of the surrounding environment refer mainly to the landscape elements that inﬂuence peo- ple’s willingness and well-being [12].,W3129869580
lane width,metric,G∩B,False,Spaciousness,1,1,1,1.00,design parameters | InfrastructuralMetric,lane width,"The physical measurement of the lane's breadth, used to determine if overtaking is safe or restricted.","This paper presents an analysis of design guidelines for SBBLs applied in Europe, North America and Australia, showing that the type of cycling infrastructure, the alignment within the SBBL and the lane width , are the parameters that should be considered to ensure safety and efficiency of these two",W2777700178
Level of Service,metric,G∖B,False,Performance,1,0,1,1.00,CompositeMetric,Level of Service,"A qualitative measure describing the operational conditions of a traffic stream, such as flow quality and interruptions.",Level of Service (LOS) The level of service describes the quality of the traffic flow.,W3206499245
Lightning,metric,B∖G,True,,1,1,0,1.00,Safety,Lightning,This indicator assesses the presence of street lighting to improve visibility and safety during non-daylight hours.,", 2020 ) Lightning A dataset on the availability of public street lightning.",W4402615958
low-stress connectivity,metric,G∩B,False,Connectivity,1,1,1,1.00,CompositeMetric,low-stress connectivity,This attribute ensures routes between origins and destinations do not expose cyclists to traffic stress exceeding their tolerance or involve excessive detours.,"For a cycling network to attract the widest possible segment of the population, its most fundamental attribute should be “low-stress connectivity”, that is, as stressed by Mekuria (2012) [6], “providing routes between people’s origins and destinations that do not require cyclists to use links that e",W1965352281
low-traffic neighbourhoods,metric,G∩B,True,,1,1,1,0.50,InfrastructuralMetric | infrastructure themes,low-traffic neighbourhoods,"Precinct-scale areas where through-traffic is restricted to create safe, low-stress environments for active travel.",The formalisation of quietways and low-traffic neighbourhoods as fundamental components of local bicycle networks; and 3.,W7152735000
maintenance,metric,B∖G,True,,1,1,0,1.00,Infrastructure for high-level bicycle tourism,maintenance,The ongoing care and repair of cycling infrastructure to ensure usability.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380
minimum travel-cost measures,metric,G∩B,False,MinimumTravelCost,1,1,1,1.00,Accessibility metrics | CompositeMetric,Minimum travel cost | minimum travel-cost measures,A measure identifying the travel cost to the single nearest destination.,"Next, a smaller group of studies employed minimum travel- cost measures.",W7158934745
modal choice,metric,G∩B,False,Performance,1,1,1,1.00,ModeMetric | travel behaviour,modal choice,"The selection of a specific transport mode by a traveler, often analyzed to determine shifts from other modes to cycling.",Modal choice One of the explanations for the increase of cycling volume is a shift to c ycling from other modes.,W1925772252
motorized traffic speed,metric,G∩B,False,TrafficCondition,1,1,1,1.00,ContextualMetric,motorized traffic speed,A measurement of the velocity of motor vehicles used to determine the appropriate level of separation for cyclists.,"Although motor traffic volume and speed are regarded as essential parameters in all countries, implementation and thresholds differ significantly.",W4416332193
motorized traffic volume,metric,G∖B,False,TrafficCondition,1,0,1,1.00,ContextualMetric,motorized traffic volume,The number of motor vehicles passing a point on a road over a specific period.,"Across Europe, countries adopt varied approaches to infrastructure selection, often using criteria such as motorized traffic speed, volume, road typology, and cyclist numbers.",W4416332193
Multimodal features (Interface and parking),metric,B∖G,True,,1,1,0,0.00,Cycle Infrastructure,Multimodal features (Interface and parking),"This criterion measures the connectivity between cycling and public transport, as well as the availability of bicycle parking.",the link between cycling and other urban transport systems is addressed considering two groups of indicators related to public transport and to parking infrastructure.,W3129869580
Natural elements,metric,B∖G,True,,1,1,0,1.00,Surrounding environment,Natural elements,"This indicator tracks the presence of trees, parks, and bodies of water that provide aesthetic or functional benefits like shade.",The presence of natural elements has been more often reflected in studies focusing on children.,W4402615958
Network features,metric,B∖G,True,,1,1,0,1.00,Accessibility,Network features,These indicators assess the physical layout of the network to minimize travel distance and maximize connectivity between nodes.,"The degree of connectivity of the cycle network is approached by an indicator that assesses if a node has links with cycle infrastructures [ 15,16], which is extremely relevant for regular commuting [74] for assessing network directness.",W3129869580
Number of bicycle parking spaces,metric,G∩B,False,Completeness,1,1,1,1.00,InfrastructuralMetric,Number of bicycle parking spaces | number of parking spaces,"A quantitative metric representing the total number of bicycles that can be parked, often calculated based on building usage or user density.","We focus on both qualitative design standards and the number of bicycle parking spaces required, and we define the number of parking spaces as the number of parkable bicycles.",W4393006393
objective safety,metric,G∩B,False,Safety,1,1,1,1.00,InfrastructuralMetric | safety,objective safety,"A measurement of safety based on actual accident statistics, injuries, and casualties.",Safety Safety studies sometimes discern between objective (measured ) safety based on accident statistics and subjective (perceived) safety reported by cyclists .,W1925772252
Obstacles on bicycle paths,metric,B∖G,True,,1,1,0,1.00,Cycling infrastructure,Obstacles on bicycle paths,This indicator identifies physical barriers or obstructions that impede the ease of cycling and create safety hazards.,Obstacles on bicycle paths both obstruct the ease of cycling and present safety hazards (Arellana et al.,W4402615958
odleg³oœæ widocznoœci na zatrzymanie,metric,G∩B,False,StoppingSightDistance,1,1,1,1.00,InfrastructuralMetric | widocznoœci,odleg³oœæ widocznoœci na zatrzymanie,The distance required for a cyclist to perceive an obstacle and come to a safe stop.,"Powinna byæ ona wyznaczana z nastêpuj¹cego wzoru [15]: S V fG Vbds bds/c61 /c177 /c43 2 254 1,4() , (4) gdzie: S – odleg³oœæ widocznoœci na zatrzymanie [m], Vbds – prêdkoœæ do projektowania dla rowerów [km/h], f – wspó³czynnik tarcia [-], G – pochylenie pod³u¿ne drogi dla rowerów [m/m].",W3149601746
Palma ratio,metric,G∩B,True,,1,1,1,0.00,CompositeMetric | Equity metrics,Palma ratio,A ratio comparing the accessibility shares of the most advantaged and least advantaged groups.,The Palma ratio contrasts accessibility shares between the most and least advantaged groups,W7158934745
Pavement Conditions,metric,B∖G,True,,1,1,0,1.00,Infrastructure,Pavement Conditions,The quality of the road surface and the presence of safety devices like speed humps.,"Poor surface pavement quality leads to bicycles using the pavement to vibrate, which strongly inﬂuences the users’ perceptions of a given cycle track, general cycling comfort and the choice of route [115].",W3015673663
Pavement type and quality,metric,G∩B,False,Smoothness,1,1,1,1.00,Cycling infrastructure | InfrastructuralMetric,Pavement type and quality,This indicator assesses the smoothness and integrity of the cycling surface to ensure comfort and minimize accident risks.,A high-quality surface is a closed pavement (asphalt and concrete) without larger potholes or cracks.,W4402615958
Pedestrian traffic flow,metric,B∖G,False,PedestrianTrafficFlow,1,1,0,1.00,Safety,Pedestrian traffic flow,"This indicator tracks pedestrian volumes, which can enhance social safety through increased 'eyes on the street'.",", 2023 ) Pedestrian traffic flow A data on pedestrian traffic volumes in each area.",W4402615958
perceived accessibility,metric,G∩B,False,PerceivedAccessibility,1,1,1,1.00,ContextualMetric,perceived accessibility | Perceived accessibility,A subjective measure of how easily an individual feels they can reach destinations.,"Van Wee (2021) distinguishes between calculated and perceived accessibility, defined as individuals’ subjective assessment of how easily they can reach desired destinations using a given mode (Negm et al.",W7158934745
Perceived Level of Safety,metric,G∖B,False,Safety,1,0,1,1.00,,Perceived Level of Safety,The subjective assessment of safety by a cyclist within a given infrastructure or environment.,"[31], who used a 360-degree immersive virtual reality (VR) cycling simulator to assess the Perceived Level of Safety (PLOS) and Willingness https://doi.",W7118196403
perceived safety index,metric,B∖G,True,,1,1,0,1.00,safety,perceived safety index,A calculated metric used to quantify the level of safety perceived by cyclists across different routes.,"For the Albertslundruten that runs through the urban fabric, the perceived safety in dex increased by 3%, for the Farumruten that includes longer sections where cyclists can drive unhindered, the index increased by 11%.",W1925772252
Physical effort,metric,G∖B,True,,1,0,1,1.00,ContextualMetric,Physical effort,An impedance measure that accounts for topography and power demand rather than just travel time.,"Louro et al. (2025) proposed a novel effort-based impedance measure derived from a power-demand equation, and showed that effort-based impedance captures physical barriers to cycling more accurately and reveals larger accessibility gains from e-bike use than time-based measures.",W7158934745
Pollution (Air quality and Noise),metric,B∖G,True,,1,1,0,1.00,Surrounding Environment,Pollution (Air quality and Noise),This criterion assesses the exposure of cyclists to air pollutants and noise generated by traffic.,"• Pollution (Air quality and Noise): The last criterion refers to the situation of cyclists’ exposure to pollution, especially in urban environments, where one of the main sources are the motorized vehicles that circulate close to or share roads with bicycles [ 80].",W3129869580
poszerzenie dróg dla rowerów na ³ukach,metric,G∩B,True,,1,1,1,1.00,InfrastructuralMetric,poszerzenie dróg dla rowerów na ³ukach,The additional width added to a bicycle path on curves to accommodate the space required for a cyclist's tilt and movement.,Bezpieczne rozwi¹zanie projektowe wymaga zatem po- szerzenia drogi dla rowerów na ³ukach w planie.,W3149601746
Proportion of municipality area covered by BSS,metric,G∩B,True,,1,1,1,1.00,Bike sharing systems | InfrastructuralMetric,Proportion of municipality area covered by BSS,This indicator measures the percentage of a municipality's total area served by a bike sharing system.,Table 1: Proportion of municipality area covered by BSS.,W1965352281
protected intersection designs,metric,G∩B,False,Safety,1,1,1,1.00,InfrastructuralMetric | infrastructure themes,protected intersection | protected intersection designs,Intersection layouts that use spatial and temporal separation to reduce conflict between cyclists and turning motor vehicles.,"Drawing on 57 plans across 34 jurisdictions, the study identifies three dominant infrastructure themes: the mainstreaming of physically separated bicycle paths, the formalisation of quietways and low-traffic neighbourhoods, and the emergence of protected intersection designs.",W7152735000
Quality of bicycle infrastructure at intersections,metric,B∖G,True,,1,1,0,1.00,Cycling infrastructure,Quality of bicycle infrastructure at intersections,This indicator evaluates the presence and safety features of cycling infrastructure specifically at road intersections.,"Bicycle infrastructure at intersections exists in many different forms, varying in terms of traffic volumes, traffic designs, and available space, making it challenging to categorise according to preference (Castañon & Ribeiro, 2021 ).",W4402615958
Quantity,metric,B∖G,True,,1,1,0,1.00,Cycle Infrastructure,Quantity,"This indicator quantifies the amount of cycling infrastructure available, often expressed as length per unit area or percentage of the total network.","The ﬁrst addresses the number of cycleways per unit area [8,16,20], or by the length of the route [9].",W3129869580
quietways,metric,G∩B,False,Comfort,1,1,1,1.00,InfrastructuralMetric | infrastructure themes,quietways,"Local streets designed with traffic calming to maintain low speeds and volumes, making them suitable for cycling without dedicated lanes.",The formalisation of quietways and low-traffic neighbourhoods as fundamental components of local bicycle networks; and 3.,W7152735000
RMS (Root Mean Square),metric,G∩B,False,Smoothness,1,1,1,1.00,Comfort assessment methods | InfrastructuralMetric,RMS (Root Mean Square),RMS is a technique that calculates the root mean square of accelerations to analyze the intensity of vibrations experienced by cyclists.,The RMS technique is based on the root mean square of accelerations in y axes used to analyze the vibration levels.,W4408618846
Road type,metric,B∖G,False,RoadType,1,1,0,1.00,Safety,Road type,This indicator categorizes roads to distinguish between quiet residential streets and major thoroughfares.,", 2006 ) Road type A data set on the classification of all road segments.",W4402615958
road typology,metric,B∖G,True,,1,1,0,1.00,,road typology,"The classification of a road based on its function, such as residential, distributor, or main road.",Choosing the right cycling infrastructure is essential to make cycling safe and ap- pealing.,W4416332193
rolling resistance,metric,G∩B,False,Smoothness,1,1,1,1.00,Comfort assessment methods | InfrastructuralMetric,rolling resistance,A metric used to evaluate how much effort is required to move a bicycle across a specific surface.,"The studies used multiple methods to assess the collected data, including Dynamic comfort index (DCI), bicycle comfort mapping, behavioral risk indicator, RMS (Root Mean Square), IRI (International Roughness Index), vibration and visual inspection, BEQI(Bicycle Environmental Quality Index), Cycling ",W4408618846
route choice,metric,G∩B,False,Navigability,1,1,1,1.00,GraphMetric | travel behaviour,route choice,"The decision-making process by cyclists regarding which path to take, often influenced by infrastructure quality versus travel time or distance.",Route choice The results of Section 3.1 demonstrated that significant ch ang es in route choice can appear.,W1925772252
route signposting,metric,B∖G,True,,1,1,0,1.00,Infrastructure for high-level bicycle tourism,route signposting,The system of visual markers and signs used to guide cyclists along a route.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380
safety-in-numbers effect,metric,B∖G,True,,1,1,0,1.00,,safety-in-numbers effect,An observed relationship where the risk of collision for a cyclist or pedestrian decreases as the total volume of people walking or cycling in an area increases.,The global benchmark study on the safety – in – numbers effect demonstrated that the prob - ability of a motorist striking an individual walking or cycling declines with approximately the -0.6 power of the number of people walking or cycling (Jacobsen 2015 ).,W7152735000
School site entrance location and school zones signage,metric,B∖G,True,,1,1,0,1.00,Safety,School site entrance location and school zones signage,This indicator tracks the location of school entrances and the presence of signage to create safe school zones.,"The location of the school entrance, together with school zone marking, are crucial for promoting cycling to school (Shaaban & Abdur-Rouf, 2020 ).",W4402615958
scoring and weighting system,metric,B∖G,True,,1,1,0,1.00,,scoring and weighting system,This method assigns points to indicators and applies weights based on their perceived importance to calculate a total index score.,"In the scoring method, the indicators of the BIs are given points against a well-defined point score system.",W4392992203
Segregation,metric,B∖G,False,Segregation,1,1,0,1.00,Safety,Segregation,These indicators measure the physical or spatial separation of cycling paths from motorized vehicles and pedestrians.,"Thus, the level of segregation is deﬁned by objective indicators such as the existence of infrastructure [15,20], the degree of separation provided by different types of cycle infrastructures [13], and the extent (e.",W3129869580
separated bicycle paths,metric,G∩B,False,Segregation,1,1,1,1.00,InfrastructuralMetric | infrastructure themes,separated bicycle paths,"Dedicated cycling facilities physically divided from motor vehicle lanes using barriers such as kerbs, bollards, or parked cars.",Background Separated bicycle paths refer to one- or two-way dedi - cated cycling facilities physically divided from motor vehicle lanes (Austroads 2021 ).,W7152735000
Service measures,metric,B∖G,True,,1,1,0,1.00,,Service measures,Specific performance metrics utilized to define the level of service.,- Service measures: performance measures that are used to deﬁne LOS (Highway Capacity Manual) [8].,W3015673663
Shared bus-bike lanes,metric,G∖B,True,,1,0,1,1.00,InfrastructuralMetric,Shared bus-bike lanes,A road lane designated for buses that also permits bicycle traffic.,SHARED BUS-BIKE LANES A shared bus-bike lane (SBBL) is a bus lane in which bicyclists are allowed.,W2777700178
Sharing policy,metric,B∖G,True,,1,1,0,1.00,Infrastructure,Sharing policy,The regulatory and design approach determining where cyclists are permitted to ride within the network.,Sharing Policy The sharing policy determines where cyclists can ride within transport network facilities.,W3015673663
Short-/long-term parking,metric,B∖G,True,,1,1,0,1.00,Qualitative design standards,Short-/long-term parking,A classification of parking based on the expected duration of stay.,"5 Usability Safe standing when parking Lighting Consideration/ Differentiation Short-/long-term parking Visitors/permanent users W Cargo bikes E-bike charging Legend Included Not included A Adjacent to destinations P At ground level, via ramps, elevators, or push ramps D Depending on the trip purpos",W4393006393
Signage/ signalling,metric,B∖G,True,,1,1,0,1.00,Cycling infrastructure,Signage/ signalling,This indicator accounts for the availability and readability of signs intended to guide or regulate bicycle traffic.,", 2020 ) Signage/ signalling A dataset of signage presence, plus a potential readability and usefulness assessment.",W4402615958
skrajnia dróg dla rowerów,metric,G∩B,False,Clearance,1,1,1,1.00,InfrastructuralMetric,skrajnia dróg dla rowerów,The defined spatial envelope required for a cyclist to move safely and comfortably.,"Do zagad- nieñ tych nale¿¹: prêdkoœæ do projektowania na trasach dla ro- werów, poszerzenie dróg dla rowerów na ³ukach, skrajnia dróg dla rowerów, jak równie¿ widocznoœæ na przejazdach dla ro- werzystów.",W3149601746
Sociodemographic Aspects,metric,B∖G,True,,1,1,0,1.00,Exogenous Factors,Sociodemographic Aspects,"Personal characteristics of the cyclist, such as age and gender, that correlate with different cycling behaviors and comfort needs.","Sociodemographic Aspects Sociodemographic variables usually include age, gender and educational level [156,157].",W3015673663
Space per bicycle,metric,G∩B,False,Spaciousness,1,1,1,1.00,InfrastructuralMetric | Qualitative design standards,Space per bicycle,The minimum area allocated for each individual bicycle to ensure adequate room for parking.,distance [m] A D D D A 100 Space per bicycle [m2] 1.,W4393006393
Spatial Availability,metric,G∖B,True,,1,0,1,1.00,CompositeMetric,Spatial Availability,A metric that reformulates accessibility with competition by ensuring the sum of available opportunities equals the total system opportunities.,"To address some of these issues, a new metric called Spatial Availability was proposed (Soukhov et al., 2023, 2025).",W7158934745
spatial entity representations,metric,B∖G,True,,1,1,0,1.00,,spatial entity representations,"These are the spatial features, such as nodes or edges, to which metrics are mapped.","One potential approach to resolve such disparities is a formal rep - resentation of the terminologies and relations between key components, such as the evaluation approach (a research paper, a guideline, or a tool), criterion (an objective or a goal, such as safety or accessibility), the evaluation ",W4401996679
speed limit,metric,B∖G,False,SpeedLimit,1,1,0,1.00,Safety,speed limit,The regulated maximum speed of motorized traffic on a given road segment.,"For safety, the speed limit appeared in three articles 24,25,32.",W4283793738
Street connectivity/ Intersection density,metric,B∖G,True,,1,1,0,1.00,Connectivity and urbanisation,Street connectivity/ Intersection density,This indicator assesses the density of intersections and the availability of multiple route options for cyclists.,"Connectivity and urbanisation A well-connected network of bicycle-friendly streets increases cycling comfort, enhances safety, and reduces the time required to reach certain destinations (Yang et al.",W4402615958
surface condition rating-scale,metric,G∩B,False,Smoothness,1,1,1,1.00,Comfort assessment methods | InfrastructuralMetric,surface condition rating-scale,A rating system used to categorize the physical condition of the pavement surface.,"The studies used multiple methods to assess the collected data, including Dynamic comfort index (DCI), bicycle comfort mapping, behavioral risk indicator, RMS (Root Mean Square), IRI (International Roughness Index), vibration and visual inspection, BEQI(Bicycle Environmental Quality Index), Cycling ",W4408618846
